algo,param,linkage,k,sample_size,n_clusters,noise_ratio,knn_components,k_used_knn,silhouette,davies_bouldin,calinski_harabasz,n_points_eval,n_clusters_eval,ARI_type,AMI_type,V_type,ARI_label,AMI_label,V_label,min_size,p1_size,n_small_lt_10,n_small_lt_50,max_size
Hierárquico,"linkage=ward, k=9",ward,9,12000,9,0.0,1,210,0.12055745322014556,1.7445736838583983,338.6194937671582,12000,9,0.10217708753010958,0.31206842969166493,0.3132686011932167,0.10031606944282247,0.14310933945567933,0.1434573863540326,1,7.72,1,1,5492
Hierárquico,"linkage=ward, k=10",ward,10,12000,10,0.0,1,210,0.05051374612486585,1.7193407153936633,340.5321405419779,12000,10,0.11270773468333233,0.3496827425232782,0.3509118552256809,0.07839816689069991,0.14328719504112536,0.14364563145198897,1,8.559999999999999,1,1,5492
Hierárquico,"linkage=ward, k=20",ward,20,12000,20,0.0,1,210,0.23728307020377706,1.6519511115226542,396.7419935798037,12000,20,0.33930308650499064,0.5821090221028731,0.5834186663852764,0.07921699343520573,0.241178630917703,0.24159729091172424,1,4.99,1,2,2723
Hierárquico,"linkage=ward, k=30",ward,30,12000,30,0.0,1,210,0.39551583330865675,1.4086734412881499,494.4215716608655,12000,30,0.38893108785103025,0.6388173944595681,0.640374332493122,0.07417670877110256,0.25879223654995587,0.2593163523837085,1,7.09,1,2,2163
Hierárquico,"linkage=ward, k=40",ward,40,12000,40,0.0,1,210,0.5020727863660538,1.410365088289944,609.7359565903366,12000,40,0.35177976936303074,0.6368237936940213,0.6388078876933637,0.06406476455557791,0.25414161243819855,0.2547954947932092,1,1.78,2,3,2085
Hierárquico,"linkage=average, k=9",average,9,12000,9,0.0,1,210,0.6370406249841519,0.4199002797775197,128.95263481259732,12000,9,-0.0001452859481007311,0.0014000650478468025,0.003439593431672832,0.0014860532585485023,0.002991781862284519,0.0043519041764273885,1,1.0,8,8,11975
Hierárquico,"linkage=average, k=10",average,10,12000,10,0.0,1,210,0.63551090638064,0.44935721318039246,142.37453038508187,12000,10,-0.00105012859231011,0.00345333189686275,0.005841566872170583,0.00957784341913054,0.01192098219734601,0.013385928325418366,1,1.0,8,9,11953
Hierárquico,"linkage=average, k=20",average,20,12000,20,0.0,1,210,0.5221320128254464,0.39941110513963496,73.23444606339714,12000,20,-0.001325776130476326,0.002831342927286457,0.006937125751760959,0.012025538420882182,0.013232672977853273,0.01623202194436702,1,1.0,18,19,11945
Hierárquico,"linkage=average, k=30",average,30,12000,30,0.0,1,210,0.4037843723690223,0.5530947606199472,65.91154375495616,12000,30,-0.003249294905681208,0.014692775249390968,0.02123565358339843,0.03495951686585249,0.03672374484672039,0.040697415029160876,1,1.0,25,29,11830
Hierárquico,"linkage=average, k=40",average,40,12000,40,0.0,1,210,0.3737287508122897,0.5846538123826492,78.18199532142441,12000,40,-0.011157877568334185,0.04288938924654342,0.051567376281860616,0.11521030680802162,0.09588305862526166,0.09996371907177994,1,1.0,32,36,11541
Hierárquico,"linkage=complete, k=9",complete,9,12000,9,0.0,1,210,0.6370406249841519,0.4199002797775197,128.95263481259732,12000,9,-0.0001452859481007311,0.0014000650478468025,0.003439593431672832,0.0014860532585485023,0.002991781862284519,0.0043519041764273885,1,1.0,8,8,11975
Hierárquico,"linkage=complete, k=10",complete,10,12000,10,0.0,1,210,0.63551090638064,0.44935721318039246,142.37453038508187,12000,10,-0.00105012859231011,0.0034533318968627508,0.005841566872170582,0.00957784341913054,0.01192098219734601,0.013385928325418366,1,1.0,8,9,11953
Hierárquico,"linkage=complete, k=20",complete,20,12000,20,0.0,1,210,0.49952495201273395,0.44829404782032556,80.18152549270762,12000,20,-0.002195909428742486,0.004545953169677001,0.009020058565651546,0.01982540820044824,0.02135951497595012,0.024278510040625225,1,1.0,17,19,11925
Hierárquico,"linkage=complete, k=30",complete,30,12000,30,0.0,1,210,0.16909730422234956,0.9689372331894269,82.36201000982791,12000,30,-0.0018593372315480056,0.111441727703726,0.1165690076364179,0.35313099678119086,0.19567018139367967,0.197515992688438,1,1.0,21,27,9610
Hierárquico,"linkage=complete, k=40",complete,40,12000,40,0.0,1,210,0.17940875265652703,1.0400474234471744,76.06797119087918,12000,40,0.0013550886710584217,0.12554386340909432,0.1321420810986886,0.37533293323963207,0.19484465264074896,0.19700606628838618,1,1.0,28,36,9091
