purity_threshold,coverage
0.5,1.0
0.51,0.9987254187909687
0.52,0.9987254187909687
0.53,0.9987254187909687
0.54,0.9987254187909687
0.55,0.9987254187909687
0.56,0.9987254187909687
0.5700000000000001,0.987163146394756
0.58,0.987163146394756
0.59,0.987163146394756
0.6,0.987163146394756
0.61,0.987163146394756
0.62,0.987163146394756
0.63,0.9735069191551348
0.64,0.9555717407137655
0.65,0.9555717407137655
0.66,0.9555717407137655
0.67,0.9555717407137655
0.6799999999999999,0.9478332119446468
0.69,0.9478332119446468
0.7,0.9478332119446468
0.71,0.9478332119446468
0.72,0.9478332119446468
0.73,0.9478332119446468
0.74,0.9478332119446468
0.75,0.9094136926438456
0.76,0.9094136926438456
0.77,0.8646212672978878
0.78,0.8646212672978878
0.79,0.861707938820102
0.8,0.861707938820102
0.81,0.861707938820102
0.8200000000000001,0.861707938820102
0.8300000000000001,0.861707938820102
0.8400000000000001,0.5259468317552805
0.8500000000000001,0.5259468317552805
0.86,0.5259468317552805
0.87,0.5259468317552805
0.88,0.5259468317552805
0.89,0.5259468317552805
0.9,0.5259468317552805
0.91,0.5259468317552805
0.9199999999999999,0.5259468317552805
0.9299999999999999,0.5259468317552805
0.94,0.5259468317552805
0.95,0.5259468317552805
0.96,0.5259468317552805
0.97,0.5259468317552805
0.98,0.5259468317552805
0.99,0.5159322651128915
1.0,0.2391660597232338
