cluster,purity_type,size,dominant_type
14,1.0,1166,normal
2,1.0,448,normal
5,1.0,277,normal
27,1.0,274,xss
15,1.0,179,xss
23,1.0,141,normal
21,1.0,121,normal
16,1.0,17,normal
1,1.0,2,normal
20,1.0,2,dos
11,0.9970394736842105,3040,xss
9,0.9818181818181818,110,password
0,0.8302603036876356,3688,scanning
26,0.78125,32,ddos
28,0.766260162601626,492,xss
4,0.7488151658767772,422,xss
8,0.6705882352941176,85,normal
12,0.6345177664974619,197,dos
29,0.6266666666666667,150,normal
10,0.5669291338582677,127,backdoor
17,0.5,14,xss
