,precision,recall,f1-score,support
backdoor,0.0,0.0,0.0,74.0
ddos,0.47619047619047616,0.38461538461538464,0.425531914893617,78.0
dos,0.0,0.0,0.0,134.0
injection,0.04048140043763676,0.7254901960784313,0.0766839378238342,51.0
mitm,0.0,0.0,0.0,82.0
normal,0.9199835863766926,0.9196062346185397,0.9197948717948718,2438.0
password,0.9818181818181818,0.782608695652174,0.8709677419354839,138.0
ransomware,0.05807622504537205,0.41025641025641024,0.10174880763116058,78.0
scanning,0.8302603036876356,0.9677623261694058,0.8937536485697607,3164.0
xss,0.9970394736842105,0.6385085317042343,0.7784769487607551,4747.0
accuracy,0.7776766205389658,0.7776766205389658,0.7776766205389658,0.7776766205389658
macro avg,0.4303849647240206,0.48288477790945805,0.4066957871409483,10984.0
weighted avg,0.8905715795013317,0.7776766205389658,0.8130880228378524,10984.0
